1.0 -6.375245161511324E-14
2.0 -6.516603147354148E-14
3.0 7.999999999999946
4.0 -6.304566168589913E-14
5.0 3.999999999999942
6.0 -6.16320818274709E-14
7.0 -6.332837765758478E-14
8.0 2.999999999999941
9.0 -6.16320818274709E-14
10.0 6.999999999999946
11.0 -6.28336247071349E-14
12.0 -5.972374901859279E-14
13.0 -5.583640440791515E-14
14.0 -5.986510700443561E-14
15.0 -5.4069429584879864E-14
16.0 -5.944103304690714E-14
17.0 -5.887560110353585E-14
18.0 -5.894628009645726E-14
19.0 -5.873424311769303E-14
20.0 -5.823949016724315E-14
21.0 -4.9687332023752345E-14
22.0 -5.088887490341634E-14
23.0 -5.505893548577962E-14
24.0 -4.551727144138906E-14
25.0 -5.3433318648587156E-14
26.0 -3.986295200767613E-14
27.0 -5.6613873330050676E-14
28.0 -4.587066640599612E-14
29.0 -4.862714712993117E-14
30.0 -4.770832022195282E-14
31.0 -4.8485789144088345E-14
32.0 -4.014566797936178E-14
33.0 -3.2158941779242274E-14
34.0 -4.862714712993117E-14
35.0 -3.753054524126955E-14
36.0 -3.321912667306345E-14
37.0 -2.8342276161486046E-14
38.0 -3.7177150276662495E-14
39.0 -3.491542250317732E-14
40.0 -4.283146971037542E-14
41.0 -2.68580173101364E-14
42.0 -1.1662033832032911E-14
43.0 -1.067252793113315E-14
44.0 -6.361109362927042E-16
45.0 2.403085759327994E-15
46.0 -1.1662033832032911E-14
47.0 -6.502467348769866E-15
48.0 -2.6363264359686522E-14
49.0 5.654319433712927E-15
50.0 4.240739575284695E-16
